更新时间,#genre#
CCTV12,http://110.177.146.171:888/rtp/239.1.1.19:8019$1920x1080
CCTV12,http://211.90.83.70:8002/rtp/226.0.2.164:9224$1920x1080
CCTV12,http://211.90.83.70:8002/rtp/226.0.2.29:8144$1920x1080
CCTV12,http://58.48.200.208:12312/rtp/239.69.1.106:10274$1920x1080
CCTV12,http://119.98.51.196:4022/rtp/239.69.1.106:10274$1920x1080
CCTV12,http://111.175.166.209:8686/rtp/239.69.1.106:10274$1920x1080
CCTV12,http://101.68.81.44:9999/rtp/233.50.201.123:5140$1920x1080
CCTV13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://36.35.16.98:9901/tsfile/live/0001_33.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://122.139.47.206:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://61.138.128.226:19901/tsfile/live/0013_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://58.48.37.158:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://112.234.23.81:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://59.173.243.210:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://220.164.192.48:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://222.70.23.103:6666/rtp/239.45.1.198:5140$1920x1080
CCTV13,http://116.227.10.196:2048/rtp/239.45.1.198:5140$1920x1080
CCTV13,http://58.32.43.55:4022/rtp/239.45.1.198:5140$1920x1080
CCTV13,http://110.177.146.171:888/rtp/239.1.1.20:8020$1920x1080
CCTV13,http://211.90.83.70:8002/rtp/226.0.2.165:9232$1920x1080
CCTV13,http://211.90.83.70:8002/rtp/226.0.2.30:8152$1920x1080
CCTV13,http://58.48.200.208:12312/rtp/239.254.96.161:9040$1920x1080
CCTV13,http://119.98.51.196:4022/rtp/239.254.96.161:9040$1920x1080
CCTV13,http://111.175.166.209:8686/rtp/239.254.96.161:9040$1920x1080
CCTV13,http://101.68.81.44:9999/rtp/233.50.201.246:5140$1920x1080
CCTV14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://221.213.69.82:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://61.138.128.226:19901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://61.157.139.15:9901/tsfile/live/2384_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://220.164.192.48:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://202.100.46.58:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://58.220.219.14:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://112.234.23.81:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://222.70.23.103:6666/rtp/239.45.3.23:5140$1920x1080
CCTV14,http://116.227.10.196:2048/rtp/239.45.3.23:5140$1920x1080
CCTV14,http://58.32.43.55:4022/rtp/239.45.3.23:5140$1920x1080
CCTV14,http://110.177.146.171:888/rtp/239.1.1.21:8021$1920x1080
CCTV14,http://211.90.83.70:8002/rtp/226.0.2.166:9240$1920x1080
